Total number of Nodes,MinP,MaxP,VarP,SumMinP,SumMaxP,MinM,MaxM,SumM,VarM,VarX×VarY,mean_distance,median_distance,std_distance,min_distance,max_distance,sum_distance,density,percentile_25,percentile_50,percentile_75,Total Time Window,Average Time Window,Max Time Window,Min Time Window,Standard Deviation of Time Window,Mean Latitude,Mean Longitude,Standard Deviation of Latitude,Standard Deviation of Longitude,Min Latitude,Max Latitude,Min Longitude,Max Longitude,Average Distance from Center,Max Distance from Center,Min Distance from Center,Standard Deviation of Distance from Center,AvgDepotDist,MaxDepotDist,MinDepotDist,StdDevDepotDist,tour_length
35,0,1782,114537.86471236988,3013.0,54923,1314.9482879566026,1641.9934574430301,52463.609591344146,3548.996446548799,2.4364953711506196e-07,292.71755102040817,203.0,338.43443192495926,0,1782,358579,10245.114285714286,108.0,203.0,351.0,2615372,74724.91428571429,86399,12600,23931.087434394893,47.50437171428572,8.025932285714283,0.00785306145424125,0.06285557436744359,47.4829,47.52725,7.6854,8.08517,0.028318440841463607,0.3412999466320191,0.0012230697411969122,0.05666180116775188,0.3513847825083002,0.4011256105012495,0.3283288488695443,0.02389445864521449,47398
59,0,2820,187163.37327888477,5095.0,150411,2150.036613799395,2597.4781935757787,144127.6096336317,6373.319533313244,1.1336399486150212e-06,291.12640045963803,199.0,432.6238242155473,0,2820,1013411,17176.457627118645,132.0,199.0,283.0,4068857,68963.67796610169,86399,9000,29287.805006805018,47.36548305084746,7.347956440677965,0.022765138249215434,0.04676999018865064,47.34414,47.52725,7.28869,7.6854,0.01924987419931637,0.3742147799941163,0.00024307690804318684,0.04832313985103682,0.3807773338934534,0.4326629248040553,0.36007329934334226,0.014563058243632476,-1
87,0,836,54225.29214192393,2278.0,62868,1174.8177359248873,2446.863093840764,174965.8588573136,186573.3399818499,1.726676342024543e-07,397.77777777777777,416.0,232.8632477269093,0,836,3010780,34606.666666666664,186.0,416.0,605.0,6911322,79440.4827586207,86399,10800,20685.417568273562,47.51284850574712,7.759401494252873,0.01154011479541429,0.03600769657600633,47.49054,47.53261,7.6854,7.82001,0.03441453003122945,0.07538981488486206,0.004334533063592871,0.015664245431257905,0.07780348171177426,0.13461019649343095,0.039802041404934284,0.033803613520067444,-1
127,0,1218,35202.164582241,4480.0,105727,1286.1536290351617,2340.243299485633,235130.17354477712,62473.5023127899,1.0674081061811008e-07,348.78101556203114,338.0,187.62239893531103,0,1218,5625489,44295.188976377955,199.0,338.0,471.0,9164540,72161.73228346456,86399,3600,28374.675927789343,47.470562204724416,7.731043858267716,0.02194744560005848,0.014886111481344954,47.41342,47.52725,7.6854,7.76415,0.02334397251892278,0.07277958457404209,0.004163541144883596,0.012583546020034829,0.07540313154559605,0.12658888418814707,0.040956026418590676,0.01903004576995768,-1
53,0,1260,51110.30259093204,2851.0,52966,1062.0698463333595,1550.7366721707117,73110.01936421357,9421.021916808842,1.4870354179551207e-07,327.17087931648274,299.0,226.07587795015203,0,1260,919023,17340.056603773584,136.0,299.0,504.0,4172294,78722.52830188679,86399,7200,21757.633380601637,47.439949433962255,7.7337066037735855,0.020110681984166528,0.01917493312019,47.40523,47.52725,7.6854,7.76415,0.022767246585429994,0.09977432935705108,0.002934809075153449,0.01593016236421543,0.10322883589106038,0.1396204139801908,0.08684555313889082,0.016647250587269364,-1
22,0,1690,166095.20994126084,1995.0,31078,1243.9207443329412,1976.7880858512974,37053.04963610339,79402.31129020375,4.872416173796102e-07,536.9297520661157,510.0,407.54780080532987,0,1690,259874,11812.454545454546,127.5,510.0,843.25,1848579,84026.31818181818,86399,34200,10872.994031863633,47.42343409090908,7.612045000000003,0.03363372315495978,0.020753781637878048,47.3909,47.52725,7.57653,7.6854,0.033362893696421515,0.12711687144267464,0.014728726597711883,0.021186413328793518,0.13498582841942566,0.15368191988649818,0.10458285184484355,0.018528685668130714,28124
6,0,1457,231516.4158950617,1940.0,7504,854.8713353481916,1197.4161766069474,6060.678743674689,10520.337943605313,7.538686410834591e-06,534.5277777777778,394.0,481.1615278625897,0,1457,19243,3207.1666666666665,85.75,394.0,1137.5,518394,86399.0,86399,86399,0.0,47.41977166666667,7.8054,0.0498957631523518,0.05502805587455685,47.38441,47.52725,7.6854,7.85187,0.05795974380565729,0.16109497861854988,0.030068737410218305,0.046457961770524414,0.19426395795865853,0.20043561983839112,0.18741793350691127,0.004963278980394334,2760
22,0,1492,112004.02586913458,2505.0,28374,899.0260386561771,1386.75141968559,27154.31506079044,20169.441279606395,1.3159910605085153e-06,369.38429752066116,298.0,334.6700253520392,0,1492,178782,8126.454545454545,157.75,298.0,488.25,1821579,82799.04545454546,86399,7200,16497.064202945796,47.41739,7.852432727272729,0.02922471167911299,0.03925330549854358,47.39191,47.52725,7.6854,7.88513,0.030352610770475682,0.19992286407554016,0.0025918259940577336,0.0383878207860941,0.21030175887389485,0.2405456613618298,0.18834185753570792,0.012432361966684048,54861
46,0,1218,76000.88566275136,2537.0,43255,1070.4988881662687,2011.298336895847,81441.58257981887,25013.113844301388,5.215696231505797e-07,444.375236294896,540.5,275.682581355354,0,1218,940298,20441.260869565216,179.75,540.5,672.0,3765557,81859.93478260869,86399,1800,17623.057526510634,47.454613478260875,7.730637826086956,0.023770798235887302,0.030381721543878262,47.41342,47.52725,7.6854,7.76847,0.03764796849046611,0.08557175468244453,0.02801656442252658,0.0084101320609067,0.09440405151254878,0.11863177061816146,0.07878713664044423,0.009710395358394073,60361
19,0,3827,881858.2135496198,5209.0,66029,2971.7203505890766,3383.4643488590214,59597.36121262739,13152.03460281804,1.8885788852305265e-05,712.3407202216066,494.0,939.0730608156214,0,3827,257155,13534.473684210527,197.0,494.0,629.0,1205988,63473.05263157895,86399,16200,30439.401936641065,47.40186631578947,7.168893157894736,0.03501424089387066,0.12411459361381487,47.35921,47.52725,7.08189,7.6854,0.06347325387974288,0.5315076539503059,0.00729205352410209,0.11225673901915253,0.5614464375705175,0.616990691177752,0.5356284542479054,0.02295848440210549,48883
136,0,1260,45983.008893274106,4820.0,119781,1420.657345779638,2760.215074473897,299105.3239439257,120378.13372617356,1.551278696638564e-07,388.0187608131488,371.0,214.43649151502666,0,1260,7176795,52770.55147058824,214.0,371.0,534.0,9942131,73103.9044117647,86399,3600,27647.212421412147,47.46524382352942,7.736589705882352,0.027651218382336588,0.014243956610208244,47.40523,47.52725,7.6854,7.77415,0.026985006640709783,0.08040616835058587,0.006835987169981468,0.015468988155080242,0.08226011421674624,0.1396204139801908,0.040956026418590676,0.026850739836899847,-1
124,0,1260,48409.52523629251,4463.0,108704,1428.237657552696,2640.2986329140385,265267.3776484863,89757.91054210206,1.2883824094167705e-07,378.07433662851196,348.0,220.02164719929834,0,1260,5813271,46881.217741935485,196.0,348.0,535.0,8905343,71817.28225806452,86399,3600,28628.27840940596,47.46797177419355,7.7325004032258065,0.026311457704385106,0.01364198236701415,47.40523,47.52725,7.6854,7.75475,0.025666870989175316,0.0757123242199992,0.0046422608251169735,0.014819184291201794,0.07833176397872153,0.1396204139801908,0.040956026418590676,0.02299202548106561,-1
10,0,4636,2132048.6771,4920.0,41838,3492.0467350824492,3950.2503211821904,36763.424161660485,24265.509098383205,7.1984784087377e-05,1060.77,534.5,1460.1536484562164,0,4636,106077,10607.7,148.5,534.5,833.0,606594,60659.4,86399,15300,31791.815176865886,47.413345,7.072017,0.040777888187104955,0.20806336712886278,47.36397,47.52725,6.95014,7.6854,0.1256607935105552,0.6238694204030202,0.030502154579635853,0.1707705064708118,0.693322887886687,0.743245762315534,0.6543655018412878,0.04135604804913349,28756
14,0,2627,670450.1244012911,3668.0,35836,1999.9228735128763,2453.970674524977,33021.947633660566,12803.701427445867,1.2955539027698414e-05,499.9438775510204,138.0,818.8101882617797,0,2627,97989,6999.214285714285,82.5,138.0,576.0,1209586,86399.0,86399,86399,0.0,47.373962857142864,7.393457857142858,0.04378032817024003,0.08221455885830252,47.3544,47.52725,7.32227,7.6854,0.04948948292107672,0.3297380216798247,0.019427701831911875,0.07890970728094014,0.3554489242399945,0.3852924356900879,0.3468070836935133,0.009496566327648828,1309
47,0,2089,105117.75719232469,3759.0,76969,1575.8486062395823,1974.691368290245,82597.33373028299,8500.226640223895,6.854000968407588e-07,391.31869624264374,366.0,324.21868729659104,0,2089,864423,18391.978723404256,166.0,366.0,473.0,3395663,72248.14893617021,86399,9000,27458.274060509946,47.416529999999995,7.516110638297873,0.021016949390958873,0.03939148943640115,47.37924,47.52725,7.42126,7.6854,0.031732140977821004,0.2022815028259264,0.006423851199804051,0.03140816503210468,0.207627223499173,0.2943710977660696,0.17733595066990954,0.027110816970488862,36425
30,0,669,39067.370711111114,1643.0,17590,580.2650256563805,1268.2336798345434,31255.130985401014,47740.82565047219,8.269342774282963e-08,344.31333333333333,394.0,197.65467540918712,0,669,309882,10329.4,154.0,394.0,509.25,2248175,74939.16666666667,86399,12600,25681.380417315755,47.50987033333333,7.730856666666667,0.011262000261449473,0.025534065263660803,47.49819,47.53648,7.6854,7.76869,0.026252497766173156,0.048665813030186605,0.011189391905826754,0.009467180140614779,0.052505809289847744,0.08725157018644489,0.029164594974043494,0.02233486113350001,-1
28,0,1686,141833.47713029728,2552.0,42072,1320.4210232238158,1866.2353147446331,45270.47769830812,32689.400468096293,4.198197178034469e-07,409.0344387755102,446.5,376.6078559062427,0,1686,320683,11452.964285714286,99.0,446.5,521.0,2349873,83924.03571428571,86399,17100,12860.29166932667,47.50005142857144,7.954892142857142,0.010043487838355233,0.06451294357154465,47.4683,47.52725,7.6854,8.00962,0.04793754616445225,0.2708611772651984,0.02220188456102894,0.04432587510648272,0.2810943414512422,0.3254579819270073,0.22248196196546066,0.0385962727573464,27342
33,0,1465,68821.24166955471,2716.0,38261,898.7789022621276,1345.3997040420234,37237.51675413756,7112.242410766603,2.8951040906358947e-07,283.5436179981634,216.0,262.3380294001514,0,1465,308779,9356.939393939394,125.0,216.0,348.0,2660371,80617.30303030302,86399,32400,15621.211054757041,47.470166060606054,7.86240303030303,0.01523887352462007,0.035308496658337254,47.43952,47.52725,7.6854,7.91221,0.02146615295158618,0.1859802378565728,0.003043463015341702,0.031907953241006974,0.19210210348823398,0.2359463790779594,0.1705649964089953,0.017072059806047632,29431
276,-26,849,22541.01444550457,7171.0,174992,1333.8185077416654,3077.9142029269933,628148.7913943592,185140.47219341772,9.987911106225959e-08,334.6027095148078,339.0,150.1366525719305,-26,849,25488696,92350.34782608696,221.0,339.0,440.0,21334263,77298.05434782608,86399,3600,22958.386724379758,47.526128659420294,7.616329891304346,0.014876237861535796,0.021244387792293366,47.48815,47.54698,7.57978,7.6854,0.023823115780357982,0.06907921047554803,0.0012777228658918279,0.01025112774761845,0.07079463788598887,0.10719533805161402,0.024902983756971604,0.021271611266295277,-1
45,0,1690,106499.32373333334,3116.0,60034,1737.5541686200434,2201.9234722800384,89685.2912798402,14357.220765541271,1.490327317673859e-06,547.6933333333334,550.0,326.34234131251395,0,1690,1109079,24646.2,313.0,550.0,764.0,3887955,86399.0,86399,86399,0.0,47.41831488888889,7.648317111111112,0.024908183271297638,0.04901158849914861,47.38917,47.52725,7.57653,7.71025,0.05316249442492189,0.11507388531346588,0.03209329239407163,0.01401080253256667,0.12758355339319516,0.15368191988649818,0.0938819072026142,0.01888486975964609,604
26,0,2029,170032.3150515563,2910.0,44015,1489.5907543297308,1774.3175286029536,42145.8111342418,2653.246800030381,1.7644317270152741e-06,383.4452662721894,370.0,412.34974845579364,0,2029,259209,9969.576923076924,102.0,370.0,445.0,2120376,81552.92307692308,86399,10800,17147.181874140486,47.48589307692308,8.007471153846154,0.019366770464505956,0.0685875395908775,47.44498,47.52725,7.6854,8.05965,0.03968519872228146,0.32471560360750173,0.01035188812352224,0.05919803533672446,0.33808124224478836,0.37862471472422476,0.3114006077386495,0.025325897382345256,54261
194,-2,1205,72048.48811064557,5943.0,177595,2180.3205725234698,4464.047151882114,668685.4930219394,507213.3093847863,6.09508840466978e-07,473.14464874056756,445.0,268.41849435283996,-2,1205,17807272,91790.06185567011,249.0,445.0,682.0,14907436,76842.45360824742,86399,3600,23016.072568417316,47.55433484536083,7.6460477835051535,0.022561095636433375,0.03460428004834762,47.51335,47.59416,7.59078,7.71523,0.0376616074885101,0.07600555880741705,0.005250355170967022,0.016972405703439983,0.05640369416964366,0.10054001243285961,0.0,0.028773857298073656,-1
39,0,1780,122798.81892384547,3278.0,64008,1609.2847272416818,1976.3864267122226,68408.60125711492,8158.8350066116545,7.224067614400784e-07,375.83300460223535,242.0,350.4266241652387,0,1780,571642,14657.48717948718,134.0,242.0,545.0,3175164,81414.46153846153,86399,14400,17401.143404586444,47.4047317948718,7.565720256410259,0.02186011446609447,0.03888109338754729,47.39056,47.52725,7.5345,7.6854,0.03637116299716816,0.1712715726953606,0.01487387024643865,0.02582135801454585,0.1782696104304385,0.20142815220321378,0.14484576659330126,0.019178262012553893,29047
57,0,1971,71316.16302650976,3681.0,87861,1425.0674037613655,1933.4250537831801,92069.41187863969,10673.071813296325,3.45307828730146e-07,341.8614958448753,333.0,267.0508622463327,0,1971,1110708,19486.105263157893,185.0,333.0,411.0,4008556,70325.54385964913,86399,3600,29796.525186595918,47.42120017543859,7.526016315789473,0.020340379638268062,0.028889774894313942,47.37924,47.52725,7.48857,7.6854,0.026620651669417718,0.1914411765583012,0.011274357394413207,0.023231251407716504,0.19551082682252735,0.2345014545797094,0.16279031451533105,0.018717428771463634,-1
21,0,1465,92095.16653040657,2373.0,23797,795.2758431303359,1226.6078078529074,21936.292566489516,6351.198270696144,4.513312960237674e-07,285.68934240362813,197.0,303.4718545934805,0,1465,125989,5999.476190476191,94.0,197.0,357.0,1677582,79884.85714285714,86399,39600,15959.548869640676,47.472545238095236,7.853280476190476,0.016562289529746227,0.040562746393844495,47.45769,47.52725,7.6854,7.91221,0.023910384977192244,0.17656858514752372,0.006255743574057824,0.0367142931257153,0.18581367307943492,0.231435644834586,0.1705649964089953,0.01497316071273368,29342
25,0,1470,110456.83367936,2024.0,29766,1238.0451203409348,1551.4500314222175,35107.21736842391,6072.071433975115,6.486180642600728e-07,494.2992,482.0,332.35046814975306,0,1470,308937,12357.48,216.0,482.0,718.0,2062777,82511.08,86399,34200,13223.838404699296,47.439325999999994,7.611861999999999,0.025081990032691175,0.032109425033780906,47.3974,47.52725,7.57653,7.6854,0.03350911846341102,0.11462315307127775,0.010952385128367733,0.02317887788062878,0.12275534893780927,0.149895870523509,0.07896328767218619,0.01860969602985755,28125
14,0,2484,429552.85703873384,2605.0,29880,1792.069474099707,2133.155492959399,27081.544085692472,10393.591503545102,4.717097789111275e-06,552.0102040816327,477.0,655.4028204384948,0,2484,108194,7728.142857142857,75.5,477.0,559.0,1117788,79842.0,86399,39600,16064.90610883594,47.43025214285716,7.427509285714286,0.02810958585317051,0.07726503269954144,47.40384,47.52725,7.33847,7.6854,0.04467989475053003,0.27552895456757276,0.009719510832158188,0.06901986018516358,0.29716141720737,0.3600928849616448,0.2720274289478922,0.02703778296981835,30702
6,0,3201,1418703.076388889,3277.0,18192,2280.066446400192,2748.8350562859655,15091.34948575671,29354.658298631624,0.00011450895256340334,1144.75,800.0,1191.0932274129045,0,3201,41211,6868.5,80.75,800.0,2770.5,469795,78299.16666666667,86399,37800,18111.777939752046,47.33617666666667,7.421210000000001,0.08850087884058329,0.12091276083744548,47.27246,47.52725,7.34163,7.6854,0.11617610170761444,0.3260450502785022,0.05773133272130135,0.09463305279293764,0.3927418211877677,0.4190631076580229,0.3728833384585583,0.01621953174773058,29992
